Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
0	0.04709	122.99	0.8253	300.09	-1000000	-1000000	-1000000	-1000000	
0.02000	0.04711	123.52	0.8253	300.10	-1000000	-1000000	-1000000	-1000000	
0.04000	0.04710	123.61	0.8254	300.15	-1000000	-1000000	-1000000	-1000000	
0.06000	0.04709	123.64	0.8254	300.18	-1000000	-1000000	-1000000	-1000000	
0.08000	0.04710	123.56	0.8255	300.14	-1000000	-1000000	-1000000	-1000000	
0.1000	0.04712	123.34	0.8258	300.09	-1000000	-1000000	-1000000	-1000000	
0.1200	0.04713	123.33	0.8260	300.10	-1000000	-1000000	-1000000	-1000000	
0.1400	0.04715	123.53	0.8260	300.15	-1000000	-1000000	-1000000	-1000000	
0.1600	0.04718	123.59	0.8261	300.16	-1000000	-1000000	-1000000	-1000000	
0.1800	0.04727	123.66	0.8261	300.11	-1000000	-1000000	-1000000	-1000000	
0.2000	0.04732	123.72	0.8261	300.08	-1000000	-1000000	-1000000	-1000000	
0.2200	0.04734	123.74	0.8260	300.13	-1000000	-1000000	-1000000	-1000000	
0.2400	0.04732	123.72	0.8260	300.16	-1000000	-1000000	-1000000	-1000000	
0.2600	0.04736	123.55	0.8261	300.14	-1000000	-1000000	-1000000	-1000000	
0.2800	0.04740	123.50	0.8262	300.08	-1000000	-1000000	-1000000	-1000000	
0.3000	0.04736	123.64	0.8264	300.10	-1000000	-1000000	-1000000	-1000000	
0.3200	0.04738	123.63	0.8266	300.15	-1000000	-1000000	-1000000	-1000000	
0.3400	0.04736	123.52	0.8266	300.17	-1000000	-1000000	-1000000	-1000000	
0.3600	0.04736	123.38	0.8267	300.12	-1000000	-1000000	-1000000	-1000000	
0.3800	0.04739	123.34	0.8267	300.08	-1000000	-1000000	-1000000	-1000000	
0.4000	0.04741	123.43	0.8267	300.12	-1000000	-1000000	-1000000	-1000000	
0.4200	0.04737	123.58	0.8266	300.17	-1000000	-1000000	-1000000	-1000000	
0.4400	0.04732	123.66	0.8266	300.15	-1000000	-1000000	-1000000	-1000000	
0.4600	0.04735	123.54	0.8266	300.09	-1000000	-1000000	-1000000	-1000000	
0.4800	0.04743	123.44	0.8268	300.08	-1000000	-1000000	-1000000	-1000000	
0.5000	0.04751	123.44	0.8272	300.14	-1000000	-1000000	-1000000	-1000000	
0.5200	0.04754	123.53	0.8274	300.17	-1000000	-1000000	-1000000	-1000000	
0.5400	0.04757	123.49	0.8274	300.13	-1000000	-1000000	-1000000	-1000000	
0.5600	0.04758	123.53	0.8274	300.08	-1000000	-1000000	-1000000	-1000000	
