Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
0	-0.08017	133.08	0.8222	300.12	-1000000	-1000000	-1000000	-1000000	
0.02000	-0.08023	133.04	0.8222	300.14	-1000000	-1000000	-1000000	-1000000	
0.04000	-0.08022	132.87	0.8221	300.15	-1000000	-1000000	-1000000	-1000000	
0.06000	-0.08020	132.81	0.8221	300.14	-1000000	-1000000	-1000000	-1000000	
0.08000	-0.08016	133.06	0.8221	300.12	-1000000	-1000000	-1000000	-1000000	
0.1000	-0.08013	133.37	0.8220	300.13	-1000000	-1000000	-1000000	-1000000	
0.1200	-0.08012	133.28	0.8220	300.15	-1000000	-1000000	-1000000	-1000000	
0.1400	-0.08010	133.04	0.8223	300.15	-1000000	-1000000	-1000000	-1000000	
0.1600	-0.08011	133.00	0.8226	300.13	-1000000	-1000000	-1000000	-1000000	
0.1800	-0.08014	133.05	0.8227	300.12	-1000000	-1000000	-1000000	-1000000	
0.2000	-0.08012	133.17	0.8228	300.13	-1000000	-1000000	-1000000	-1000000	
0.2200	-0.08013	133.14	0.8228	300.15	-1000000	-1000000	-1000000	-1000000	
0.2400	-0.08015	133.04	0.8228	300.15	-1000000	-1000000	-1000000	-1000000	
0.2600	-0.08010	132.97	0.8228	300.12	-1000000	-1000000	-1000000	-1000000	
0.2800	-0.08004	133.00	0.8228	300.12	-1000000	-1000000	-1000000	-1000000	
0.3000	-0.08000	133.04	0.8228	300.14	-1000000	-1000000	-1000000	-1000000	
0.3200	-0.08000	133.04	0.8228	300.15	-1000000	-1000000	-1000000	-1000000	
0.3400	-0.08000	133.09	0.8228	300.14	-1000000	-1000000	-1000000	-1000000	
0.3600	-0.08003	133.10	0.8228	300.12	-1000000	-1000000	-1000000	-1000000	
0.3800	-0.08004	133.09	0.8228	300.12	-1000000	-1000000	-1000000	-1000000	
0.4000	-0.08007	133.06	0.8227	300.14	-1000000	-1000000	-1000000	-1000000	
0.4200	-0.08007	133.01	0.8228	300.15	-1000000	-1000000	-1000000	-1000000	
0.4400	-0.07998	132.91	0.8230	300.13	-1000000	-1000000	-1000000	-1000000	
0.4600	-0.07990	133.18	0.8233	300.12	-1000000	-1000000	-1000000	-1000000	
0.4800	-0.07988	133.90	0.8234	300.13	-1000000	-1000000	-1000000	-1000000	
0.5000	-0.07993	133.98	0.8234	300.15	-1000000	-1000000	-1000000	-1000000	
0.5200	-0.07995	133.42	0.8234	300.14	-1000000	-1000000	-1000000	-1000000	
0.5400	-0.07995	133.09	0.8234	300.12	-1000000	-1000000	-1000000	-1000000	
0.5600	-0.07992	133.03	0.8234	300.11	-1000000	-1000000	-1000000	-1000000	
0.5800	-0.07987	132.96	0.8235	300.13	-1000000	-1000000	-1000000	-1000000	
0.6000	-0.07987	132.95	0.8235	300.15	-1000000	-1000000	-1000000	-1000000	
0.6200	-0.07986	132.99	0.8235	300.14	-1000000	-1000000	-1000000	-1000000	
0.6400	-0.07985	133.08	0.8235	300.12	-1000000	-1000000	-1000000	-1000000	
0.6600	-0.07982	133.14	0.8235	300.12	-1000000	-1000000	-1000000	-1000000	
0.6800	-0.07982	133.12	0.8234	300.14	-1000000	-1000000	-1000000	-1000000	
0.7000	-0.07985	133.06	0.8234	300.15	-1000000	-1000000	-1000000	-1000000	
0.7200	-0.07982	133.12	0.8233	300.13	-1000000	-1000000	-1000000	-1000000	
0.7400	-0.07977	133.12	0.8234	300.11	-1000000	-1000000	-1000000	-1000000	
0.7600	-0.07973	132.96	0.8236	300.13	-1000000	-1000000	-1000000	-1000000	
0.7800	-0.07969	132.92	0.8240	300.15	-1000000	-1000000	-1000000	-1000000	
0.8000	-0.07968	132.94	0.8241	300.14	-1000000	-1000000	-1000000	-1000000	
0.8200	-0.07971	132.94	0.8241	300.12	-1000000	-1000000	-1000000	-1000000	
