Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
0	0.02239	134.32	0.6342	300.14	-1000000	-1000000	-1000000	-1000000	
0.02000	0.02241	134.32	0.6342	300.14	-1000000	-1000000	-1000000	-1000000	
0.04000	0.02238	134.35	0.6342	300.12	-1000000	-1000000	-1000000	-1000000	
0.06000	0.02235	134.24	0.6342	300.12	-1000000	-1000000	-1000000	-1000000	
0.08000	0.02232	134.20	0.6342	300.13	-1000000	-1000000	-1000000	-1000000	
0.1000	0.02231	134.23	0.6342	300.14	-1000000	-1000000	-1000000	-1000000	
0.1200	0.02235	134.21	0.6342	300.13	-1000000	-1000000	-1000000	-1000000	
0.1400	0.02240	134.14	0.6343	300.11	-1000000	-1000000	-1000000	-1000000	
0.1600	0.02245	134.05	0.6343	300.12	-1000000	-1000000	-1000000	-1000000	
0.1800	0.02247	134.02	0.6342	300.14	-1000000	-1000000	-1000000	-1000000	
0.2000	0.02246	134.07	0.6342	300.14	-1000000	-1000000	-1000000	-1000000	
0.2200	0.02241	134.11	0.6342	300.12	-1000000	-1000000	-1000000	-1000000	
0.2400	0.02235	134.06	0.6342	300.11	-1000000	-1000000	-1000000	-1000000	
0.2600	0.02233	134.06	0.6341	300.13	-1000000	-1000000	-1000000	-1000000	
0.2800	0.02236	133.50	0.6342	300.14	-1000000	-1000000	-1000000	-1000000	
0.3000	0.02240	132.76	0.6344	300.13	-1000000	-1000000	-1000000	-1000000	
0.3200	0.02243	132.38	0.6347	300.11	-1000000	-1000000	-1000000	-1000000	
0.3400	0.02242	132.42	0.6348	300.12	-1000000	-1000000	-1000000	-1000000	
0.3600	0.02240	132.86	0.6347	300.14	-1000000	-1000000	-1000000	-1000000	
0.3800	0.02237	133.57	0.6347	300.13	-1000000	-1000000	-1000000	-1000000	
0.4000	0.02234	133.99	0.6347	300.11	-1000000	-1000000	-1000000	-1000000	
0.4200	0.02240	133.99	0.6348	300.11	-1000000	-1000000	-1000000	-1000000	
0.4400	0.02245	134.03	0.6349	300.13	-1000000	-1000000	-1000000	-1000000	
0.4600	0.02245	134.13	0.6349	300.14	-1000000	-1000000	-1000000	-1000000	
0.4800	0.02243	134.32	0.6348	300.13	-1000000	-1000000	-1000000	-1000000	
0.5000	0.02245	134.35	0.6347	300.11	-1000000	-1000000	-1000000	-1000000	
0.5200	0.02245	134.26	0.6348	300.11	-1000000	-1000000	-1000000	-1000000	
0.5400	0.02244	134.47	0.6348	300.13	-1000000	-1000000	-1000000	-1000000	
0.5600	0.02242	135.22	0.6349	300.14	-1000000	-1000000	-1000000	-1000000	
0.5800	0.02240	135.61	0.6348	300.12	-1000000	-1000000	-1000000	-1000000	
0.6000	0.02239	135.59	0.6348	300.11	-1000000	-1000000	-1000000	-1000000	
0.6200	0.02243	135.53	0.6349	300.13	-1000000	-1000000	-1000000	-1000000	
0.6400	0.02253	135.56	0.6349	300.14	-1000000	-1000000	-1000000	-1000000	
0.6600	0.02254	135.61	0.6348	300.13	-1000000	-1000000	-1000000	-1000000	
0.6800	0.02248	135.65	0.6348	300.11	-1000000	-1000000	-1000000	-1000000	
0.7000	0.02246	135.72	0.6349	300.11	-1000000	-1000000	-1000000	-1000000	
0.7200	0.02245	135.88	0.6349	300.14	-1000000	-1000000	-1000000	-1000000	
0.7400	0.02248	135.86	0.6349	300.14	-1000000	-1000000	-1000000	-1000000	
0.7600	0.02249	135.15	0.6349	300.12	-1000000	-1000000	-1000000	-1000000	
0.7800	0.02249	134.24	0.6348	300.11	-1000000	-1000000	-1000000	-1000000	
0.8000	0.02249	133.91	0.6348	300.12	-1000000	-1000000	-1000000	-1000000	
0.8200	0.02248	134.02	0.6348	300.14	-1000000	-1000000	-1000000	-1000000	
0.8400	0.02251	134.18	0.6349	300.13	-1000000	-1000000	-1000000	-1000000	
0.8600	0.02254	134.01	0.6349	300.11	-1000000	-1000000	-1000000	-1000000	
0.8800	0.02254	133.80	0.6348	300.11	-1000000	-1000000	-1000000	-1000000	
0.9000	0.02252	133.76	0.6348	300.14	-1000000	-1000000	-1000000	-1000000	
0.9200	0.02250	133.98	0.6348	300.14	-1000000	-1000000	-1000000	-1000000	
0.9400	0.02248	134.35	0.6348	300.12	-1000000	-1000000	-1000000	-1000000	
0.9600	0.02252	134.44	0.6348	300.11	-1000000	-1000000	-1000000	-1000000	
0.9800	0.02254	134.24	0.6349	300.12	-1000000	-1000000	-1000000	-1000000	
1.000	0.02251	134.00	0.6349	300.14	-1000000	-1000000	-1000000	-1000000	
1.020	0.02250	133.81	0.6348	300.14	-1000000	-1000000	-1000000	-1000000	
1.040	0.02248	133.87	0.6348	300.12	-1000000	-1000000	-1000000	-1000000	
1.060	0.02250	133.89	0.6348	300.11	-1000000	-1000000	-1000000	-1000000	
1.080	0.02252	133.78	0.6348	300.14	-1000000	-1000000	-1000000	-1000000	
1.100	0.02251	133.95	0.6348	300.15	-1000000	-1000000	-1000000	-1000000	
1.120	0.02253	134.12	0.6347	300.13	-1000000	-1000000	-1000000	-1000000	
1.140	0.02254	134.13	0.6348	300.11	-1000000	-1000000	-1000000	-1000000	
1.160	0.02258	134.09	0.6349	300.12	-1000000	-1000000	-1000000	-1000000	
1.180	0.02259	134.16	0.6349	300.14	-1000000	-1000000	-1000000	-1000000	
1.200	0.02258	134.11	0.6349	300.14	-1000000	-1000000	-1000000	-1000000	
1.220	0.02255	134.12	0.6349	300.12	-1000000	-1000000	-1000000	-1000000	
1.240	0.02253	134.16	0.6349	300.11	-1000000	-1000000	-1000000	-1000000	
1.260	0.02254	134.09	0.6348	300.13	-1000000	-1000000	-1000000	-1000000	
1.280	0.02260	133.99	0.6348	300.14	-1000000	-1000000	-1000000	-1000000	
1.300	0.02261	134.09	0.6348	300.13	-1000000	-1000000	-1000000	-1000000	
1.320	0.02257	134.09	0.6348	300.11	-1000000	-1000000	-1000000	-1000000	
1.340	0.02253	134.05	0.6349	300.11	-1000000	-1000000	-1000000	-1000000	
1.360	0.02249	134.00	0.6348	300.13	-1000000	-1000000	-1000000	-1000000	
1.380	0.02250	134.22	0.6347	300.14	-1000000	-1000000	-1000000	-1000000	
1.400	0.02254	134.07	0.6348	300.12	-1000000	-1000000	-1000000	-1000000	
1.420	0.02259	133.99	0.6349	300.12	-1000000	-1000000	-1000000	-1000000	
1.440	0.02260	134.14	0.6349	300.13	-1000000	-1000000	-1000000	-1000000	
1.460	0.02259	134.11	0.6352	300.14	-1000000	-1000000	-1000000	-1000000	
1.480	0.02259	133.89	0.6354	300.13	-1000000	-1000000	-1000000	-1000000	
1.500	0.02261	133.82	0.6355	300.11	-1000000	-1000000	-1000000	-1000000	
1.520	0.02258	133.97	0.6355	300.11	-1000000	-1000000	-1000000	-1000000	
1.540	0.02251	134.15	0.6355	300.14	-1000000	-1000000	-1000000	-1000000	
1.560	0.02250	134.14	0.6355	300.14	-1000000	-1000000	-1000000	-1000000	
1.580	0.02259	134.19	0.6356	300.12	-1000000	-1000000	-1000000	-1000000	
1.600	0.02267	134.16	0.6356	300.11	-1000000	-1000000	-1000000	-1000000	
1.620	0.02267	134.04	0.6355	300.12	-1000000	-1000000	-1000000	-1000000	
1.640	0.02263	134.11	0.6356	300.14	-1000000	-1000000	-1000000	-1000000	
1.660	0.02263	134.11	0.6355	300.14	-1000000	-1000000	-1000000	-1000000	
1.680	0.02266	134.23	0.6355	300.12	-1000000	-1000000	-1000000	-1000000	
1.700	0.02268	134.29	0.6355	300.12	-1000000	-1000000	-1000000	-1000000	
1.720	0.02263	134.28	0.6356	300.14	-1000000	-1000000	-1000000	-1000000	
1.740	0.02259	134.25	0.6356	300.14	-1000000	-1000000	-1000000	-1000000	
1.760	0.02265	134.50	0.6355	300.13	-1000000	-1000000	-1000000	-1000000	
1.780	0.02269	134.47	0.6355	300.11	-1000000	-1000000	-1000000	-1000000	
1.800	0.02268	134.14	0.6355	300.12	-1000000	-1000000	-1000000	-1000000	
1.820	0.02266	134.06	0.6355	300.15	-1000000	-1000000	-1000000	-1000000	
1.840	0.02265	134.19	0.6355	300.14	-1000000	-1000000	-1000000	-1000000	
1.860	0.02263	134.24	0.6354	300.12	-1000000	-1000000	-1000000	-1000000	
1.880	0.02259	134.41	0.6355	300.11	-1000000	-1000000	-1000000	-1000000	
1.900	0.02256	134.40	0.6355	300.13	-1000000	-1000000	-1000000	-1000000	
1.920	0.02262	134.26	0.6355	300.14	-1000000	-1000000	-1000000	-1000000	
1.940	0.02268	134.02	0.6355	300.13	-1000000	-1000000	-1000000	-1000000	
1.960	0.02269	133.47	0.6355	300.11	-1000000	-1000000	-1000000	-1000000	
1.980	0.02268	132.85	0.6355	300.12	-1000000	-1000000	-1000000	-1000000	
2.000	0.02270	132.48	0.6354	300.13	-1000000	-1000000	-1000000	-1000000	
2.020	0.02269	132.44	0.6354	300.14	-1000000	-1000000	-1000000	-1000000	
2.040	0.02267	132.47	0.6354	300.12	-1000000	-1000000	-1000000	-1000000	
2.060	0.02268	132.37	0.6354	300.10	-1000000	-1000000	-1000000	-1000000	
2.080	0.02269	131.98	0.6354	300.12	-1000000	-1000000	-1000000	-1000000	
2.100	0.02272	131.09	0.6354	300.14	-1000000	-1000000	-1000000	-1000000	
2.120	0.02275	129.98	0.6355	300.13	-1000000	-1000000	-1000000	-1000000	
2.140	0.02279	128.36	0.6354	300.12	-1000000	-1000000	-1000000	-1000000	
2.160	0.02285	125.43	0.6354	300.14	-1000000	-1000000	-1000000	-1000000	
2.180	0.02292	120.16	0.6356	300.16	-1000000	-1000000	-1000000	-1000000	
2.200	0.02318	111.76	0.6359	300.15	-1000000	-1000000	-1000000	-1000000	
2.220	0.02348	100.08	0.6361	300.12	-1000000	-1000000	-1000000	-1000000	
2.240	0.02376	86.29	0.6362	300.10	-1000000	-1000000	-1000000	-1000000	
2.260	0.02406	72.78	0.6366	300.12	-1000000	-1000000	-1000000	-1000000	
2.280	0.02434	62.03	0.6374	300.14	-1000000	-1000000	-1000000	-1000000	
2.300	0.02462	55.20	0.6384	300.14	-1000000	-1000000	-1000000	-1000000	
2.320	0.02494	52.45	0.6395	300.11	-1000000	-1000000	-1000000	-1000000	
2.340	0.02530	52.85	0.6407	300.11	-1000000	-1000000	-1000000	-1000000	
2.360	0.02563	54.74	0.6420	300.13	-1000000	-1000000	-1000000	-1000000	
2.380	0.02590	56.77	0.6431	300.14	-1000000	-1000000	-1000000	-1000000	
2.400	0.02620	58.11	0.6443	300.12	-1000000	-1000000	-1000000	-1000000	
2.420	0.02656	57.97	0.6454	300.11	-1000000	-1000000	-1000000	-1000000	
2.440	0.02693	56.92	0.6464	300.12	-1000000	-1000000	-1000000	-1000000	
2.460	0.02727	55.92	0.6474	300.14	-1000000	-1000000	-1000000	-1000000	
2.480	0.02761	54.74	0.6484	300.14	-1000000	-1000000	-1000000	-1000000	
2.500	0.02797	53.58	0.6495	300.12	-1000000	-1000000	-1000000	-1000000	
2.520	0.02826	53.01	0.6507	300.11	-1000000	-1000000	-1000000	-1000000	
2.540	0.02858	52.63	0.6519	300.13	-1000000	-1000000	-1000000	-1000000	
2.560	0.02898	52.50	0.6530	300.14	-1000000	-1000000	-1000000	-1000000	
2.580	0.02939	53.01	0.6542	300.13	-1000000	-1000000	-1000000	-1000000	
2.600	0.02972	53.13	0.6554	300.11	-1000000	-1000000	-1000000	-1000000	
2.620	0.03001	52.52	0.6565	300.12	-1000000	-1000000	-1000000	-1000000	
2.640	0.03030	51.91	0.6577	300.13	-1000000	-1000000	-1000000	-1000000	
2.660	0.03062	51.73	0.6589	300.14	-1000000	-1000000	-1000000	-1000000	
2.680	0.03096	51.77	0.6602	300.13	-1000000	-1000000	-1000000	-1000000	
2.700	0.03133	51.08	0.6613	300.11	-1000000	-1000000	-1000000	-1000000	
2.720	0.03170	50.19	0.6624	300.12	-1000000	-1000000	-1000000	-1000000	
2.740	0.03206	49.88	0.6636	300.14	-1000000	-1000000	-1000000	-1000000	
2.760	0.03244	49.97	0.6649	300.14	-1000000	-1000000	-1000000	-1000000	
2.780	0.03281	49.78	0.6663	300.12	-1000000	-1000000	-1000000	-1000000	
2.800	0.03313	49.03	0.6674	300.11	-1000000	-1000000	-1000000	-1000000	
2.820	0.03345	48.49	0.6685	300.13	-1000000	-1000000	-1000000	-1000000	
2.840	0.03380	48.45	0.6697	300.14	-1000000	-1000000	-1000000	-1000000	
2.860	0.03417	48.50	0.6711	300.12	-1000000	-1000000	-1000000	-1000000	
2.880	0.03460	48.39	0.6724	300.11	-1000000	-1000000	-1000000	-1000000	
2.900	0.03499	48.36	0.6738	300.12	-1000000	-1000000	-1000000	-1000000	
2.920	0.03530	48.45	0.6749	300.14	-1000000	-1000000	-1000000	-1000000	
2.940	0.03561	48.47	0.6759	300.13	-1000000	-1000000	-1000000	-1000000	
2.960	0.03597	48.57	0.6771	300.11	-1000000	-1000000	-1000000	-1000000	
2.980	0.03638	48.60	0.6784	300.11	-1000000	-1000000	-1000000	-1000000	
3.000	0.03677	47.81	0.6798	300.14	-1000000	-1000000	-1000000	-1000000	
3.020	0.03711	46.95	0.6811	300.15	-1000000	-1000000	-1000000	-1000000	
3.040	0.03751	46.60	0.6824	300.14	-1000000	-1000000	-1000000	-1000000	
3.060	0.03790	46.08	0.6835	300.11	-1000000	-1000000	-1000000	-1000000	
3.080	0.03827	45.40	0.6845	300.12	-1000000	-1000000	-1000000	-1000000	
3.100	0.03860	44.91	0.6858	300.14	-1000000	-1000000	-1000000	-1000000	
3.120	0.03893	44.91	0.6871	300.14	-1000000	-1000000	-1000000	-1000000	
3.140	0.03929	45.12	0.6885	300.12	-1000000	-1000000	-1000000	-1000000	
3.160	0.03969	45.13	0.6898	300.11	-1000000	-1000000	-1000000	-1000000	
3.180	0.04006	45.00	0.6911	300.13	-1000000	-1000000	-1000000	-1000000	
3.200	0.04045	44.44	0.6925	300.14	-1000000	-1000000	-1000000	-1000000	
3.220	0.04082	43.69	0.6936	300.13	-1000000	-1000000	-1000000	-1000000	
3.240	0.04119	42.70	0.6947	300.11	-1000000	-1000000	-1000000	-1000000	
3.260	0.04159	41.99	0.6958	300.12	-1000000	-1000000	-1000000	-1000000	
3.280	0.04199	41.73	0.6972	300.14	-1000000	-1000000	-1000000	-1000000	
3.300	0.04237	41.58	0.6985	300.14	-1000000	-1000000	-1000000	-1000000	
3.320	0.04274	41.59	0.6999	300.12	-1000000	-1000000	-1000000	-1000000	
3.340	0.04312	41.76	0.7012	300.10	-1000000	-1000000	-1000000	-1000000	
3.360	0.04352	41.84	0.7026	300.12	-1000000	-1000000	-1000000	-1000000	
3.380	0.04392	41.74	0.7040	300.14	-1000000	-1000000	-1000000	-1000000	
3.400	0.04432	41.57	0.7053	300.13	-1000000	-1000000	-1000000	-1000000	
3.420	0.04467	41.62	0.7066	300.11	-1000000	-1000000	-1000000	-1000000	
3.440	0.04503	41.59	0.7080	300.12	-1000000	-1000000	-1000000	-1000000	
3.460	0.04543	41.71	0.7093	300.14	-1000000	-1000000	-1000000	-1000000	
3.480	0.04584	41.94	0.7106	300.14	-1000000	-1000000	-1000000	-1000000	
3.500	0.04625	41.79	0.7119	300.12	-1000000	-1000000	-1000000	-1000000	
3.520	0.04661	41.50	0.7132	300.11	-1000000	-1000000	-1000000	-1000000	
3.540	0.04701	41.22	0.7146	300.12	-1000000	-1000000	-1000000	-1000000	
3.560	0.04746	40.70	0.7160	300.14	-1000000	-1000000	-1000000	-1000000	
3.580	0.04783	40.25	0.7173	300.13	-1000000	-1000000	-1000000	-1000000	
3.600	0.04817	39.99	0.7186	300.11	-1000000	-1000000	-1000000	-1000000	
3.620	0.04856	39.94	0.7200	300.11	-1000000	-1000000	-1000000	-1000000	
3.640	0.04896	40.04	0.7213	300.13	-1000000	-1000000	-1000000	-1000000	
3.660	0.04938	40.03	0.7227	300.14	-1000000	-1000000	-1000000	-1000000	
3.680	0.04977	40.11	0.7241	300.12	-1000000	-1000000	-1000000	-1000000	
3.700	0.05018	40.22	0.7254	300.11	-1000000	-1000000	-1000000	-1000000	
3.720	0.05059	40.21	0.7267	300.12	-1000000	-1000000	-1000000	-1000000	
3.740	0.05096	40.03	0.7280	300.15	-1000000	-1000000	-1000000	-1000000	
3.760	0.05133	40.00	0.7294	300.14	-1000000	-1000000	-1000000	-1000000	
3.780	0.05173	40.11	0.7308	300.12	-1000000	-1000000	-1000000	-1000000	
3.800	0.05215	40.31	0.7322	300.11	-1000000	-1000000	-1000000	-1000000	
3.820	0.05264	40.29	0.7336	300.13	-1000000	-1000000	-1000000	-1000000	
3.840	0.05306	40.15	0.7349	300.14	-1000000	-1000000	-1000000	-1000000	
3.860	0.05344	39.97	0.7362	300.13	-1000000	-1000000	-1000000	-1000000	
3.880	0.05384	39.85	0.7374	300.11	-1000000	-1000000	-1000000	-1000000	
3.900	0.05423	40.01	0.7387	300.12	-1000000	-1000000	-1000000	-1000000	
3.920	0.05462	40.14	0.7401	300.14	-1000000	-1000000	-1000000	-1000000	
3.940	0.05499	40.12	0.7415	300.14	-1000000	-1000000	-1000000	-1000000	
3.960	0.05538	39.96	0.7429	300.12	-1000000	-1000000	-1000000	-1000000	
3.980	0.05579	39.75	0.7442	300.11	-1000000	-1000000	-1000000	-1000000	
4.000	0.05627	39.92	0.7456	300.13	-1000000	-1000000	-1000000	-1000000	
4.020	0.05672	39.84	0.7469	300.15	-1000000	-1000000	-1000000	-1000000	
4.040	0.05710	39.13	0.7482	300.14	-1000000	-1000000	-1000000	-1000000	
4.060	0.05750	38.70	0.7495	300.11	-1000000	-1000000	-1000000	-1000000	
4.080	0.05794	38.29	0.7511	300.11	-1000000	-1000000	-1000000	-1000000	
4.100	0.05833	37.37	0.7528	300.13	-1000000	-1000000	-1000000	-1000000	
4.120	0.05870	36.91	0.7543	300.14	-1000000	-1000000	-1000000	-1000000	
4.140	0.05908	36.66	0.7556	300.12	-1000000	-1000000	-1000000	-1000000	
4.160	0.05950	36.61	0.7569	300.11	-1000000	-1000000	-1000000	-1000000	
4.180	0.06000	36.76	0.7583	300.12	-1000000	-1000000	-1000000	-1000000	
4.200	0.06046	36.74	0.7597	300.14	-1000000	-1000000	-1000000	-1000000	
4.220	0.06082	36.25	0.7611	300.13	-1000000	-1000000	-1000000	-1000000	
4.240	0.06120	35.26	0.7624	300.11	-1000000	-1000000	-1000000	-1000000	
4.260	0.06163	34.95	0.7638	300.11	-1000000	-1000000	-1000000	-1000000	
4.280	0.06202	34.89	0.7650	300.13	-1000000	-1000000	-1000000	-1000000	
4.300	0.06239	34.95	0.7663	300.14	-1000000	-1000000	-1000000	-1000000	
4.320	0.06281	34.86	0.7676	300.12	-1000000	-1000000	-1000000	-1000000	
4.340	0.06330	34.71	0.7690	300.11	-1000000	-1000000	-1000000	-1000000	
4.360	0.06375	35.05	0.7707	300.11	-1000000	-1000000	-1000000	-1000000	
4.380	0.06417	35.05	0.7723	300.14	-1000000	-1000000	-1000000	-1000000	
4.400	0.06460	34.99	0.7738	300.13	-1000000	-1000000	-1000000	-1000000	
4.420	0.06502	34.83	0.7752	300.11	-1000000	-1000000	-1000000	-1000000	
4.440	0.06543	35.40	0.7765	300.11	-1000000	-1000000	-1000000	-1000000	
4.460	0.06580	35.89	0.7778	300.13	-1000000	-1000000	-1000000	-1000000	
4.480	0.06619	35.52	0.7792	300.14	-1000000	-1000000	-1000000	-1000000	
