Zeit  1 - Standardmessrate [s]	Maytec [mm]	Kraft [N]	Standardwegaufnehmer [mm]	Pyrometer [°C]	Drehwinkel [V]	MX840_0_CH 6 [V]	MX840_0_CH 7 [V]	MX840_0_CH 8 [V]
0	0.03072	136.82	0.8295	300.10	-1000000	-1000000	-1000000	-1000000	
0.02000	0.03073	136.82	0.8295	300.12	-1000000	-1000000	-1000000	-1000000	
0.04000	0.03067	136.77	0.8295	300.14	-1000000	-1000000	-1000000	-1000000	
0.06000	0.03065	136.71	0.8295	300.13	-1000000	-1000000	-1000000	-1000000	
0.08000	0.03071	136.64	0.8296	300.11	-1000000	-1000000	-1000000	-1000000	
0.1000	0.03077	136.10	0.8297	300.11	-1000000	-1000000	-1000000	-1000000	
0.1200	0.03080	135.43	0.8296	300.13	-1000000	-1000000	-1000000	-1000000	
0.1400	0.03080	135.32	0.8295	300.14	-1000000	-1000000	-1000000	-1000000	
0.1600	0.03074	135.47	0.8295	300.13	-1000000	-1000000	-1000000	-1000000	
0.1800	0.03067	135.44	0.8295	300.11	-1000000	-1000000	-1000000	-1000000	
0.2000	0.03069	135.29	0.8295	300.11	-1000000	-1000000	-1000000	-1000000	
0.2200	0.03073	135.13	0.8296	300.13	-1000000	-1000000	-1000000	-1000000	
0.2400	0.03080	135.12	0.8296	300.14	-1000000	-1000000	-1000000	-1000000	
0.2600	0.03082	135.20	0.8296	300.12	-1000000	-1000000	-1000000	-1000000	
0.2800	0.03080	135.48	0.8296	300.10	-1000000	-1000000	-1000000	-1000000	
0.3000	0.03080	136.26	0.8295	300.11	-1000000	-1000000	-1000000	-1000000	
0.3200	0.03080	136.82	0.8295	300.14	-1000000	-1000000	-1000000	-1000000	
0.3400	0.03078	137.01	0.8295	300.14	-1000000	-1000000	-1000000	-1000000	
0.3600	0.03077	136.90	0.8295	300.11	-1000000	-1000000	-1000000	-1000000	
0.3800	0.03074	136.78	0.8295	300.11	-1000000	-1000000	-1000000	-1000000	
0.4000	0.03076	136.73	0.8295	300.12	-1000000	-1000000	-1000000	-1000000	
0.4200	0.03078	136.71	0.8295	300.14	-1000000	-1000000	-1000000	-1000000	
0.4400	0.03081	136.77	0.8295	300.14	-1000000	-1000000	-1000000	-1000000	
0.4600	0.03084	137.01	0.8295	300.11	-1000000	-1000000	-1000000	-1000000	
0.4800	0.03084	137.15	0.8295	300.11	-1000000	-1000000	-1000000	-1000000	
0.5000	0.03082	137.08	0.8297	300.13	-1000000	-1000000	-1000000	-1000000	
0.5200	0.03080	136.99	0.8300	300.14	-1000000	-1000000	-1000000	-1000000	
0.5400	0.03082	136.88	0.8302	300.13	-1000000	-1000000	-1000000	-1000000	
0.5600	0.03086	136.83	0.8303	300.11	-1000000	-1000000	-1000000	-1000000	
0.5800	0.03088	136.98	0.8303	300.11	-1000000	-1000000	-1000000	-1000000	
0.6000	0.03084	137.18	0.8302	300.13	-1000000	-1000000	-1000000	-1000000	
0.6200	0.03083	137.19	0.8302	300.14	-1000000	-1000000	-1000000	-1000000	
0.6400	0.03085	137.11	0.8301	300.12	-1000000	-1000000	-1000000	-1000000	
0.6600	0.03087	136.88	0.8302	300.11	-1000000	-1000000	-1000000	-1000000	
0.6800	0.03085	136.84	0.8302	300.12	-1000000	-1000000	-1000000	-1000000	
0.7000	0.03084	136.68	0.8301	300.14	-1000000	-1000000	-1000000	-1000000	
0.7200	0.03084	136.34	0.8301	300.14	-1000000	-1000000	-1000000	-1000000	
0.7400	0.03081	136.01	0.8301	300.12	-1000000	-1000000	-1000000	-1000000	
